关键词,完整标题,预编码结果,编码理由关键词
美容,三位一体之美容品爱的霜,3_愿景,爱/美
美容,孩兒面,0_未分类,
美容,上海家庭醫藥社,2_科学,医/药
美容,標凖美容潤膚劑孩兒面化裝界最新代表作品精装孩兒面,3_愿景,最新/美/剂
美容,冬令應用幾種香品,3_愿景,香
美容,冬令應用幾種香品一品香,3_愿景,香
美容,美容露徵求題名啟事,2_科学,科学/现代
美容,冬令鏖用幾種香品,3_愿景,香
美容,今晚開始東方化學工業社邀請汪曼傑小姐今代美容術並唱現代著名歌曲,2_科学,化学/现代/著名
美容,西𫏂香粉蜜乃真正美容雋品,3_愿景,香/美
美容,美顏秘訣請用此種美顏妙品使皮膚秀麗可愛,3_愿景,秘诀/妙品/爱
美容,欲保面貌嬌妍請用西𫏂三級美容法,3_愿景,法/美
美容,白雪是美容底領域裡新闢的一條㨗徑,3_愿景,白/美
美容,西蒙香粉蜜乃真正美容雋品,3_愿景,香/美
美容,永安公司春季大减價,0_未分类,
美容,兜安氏美容膏,3_愿景,美/膏
美容,三花之美容妙訣,3_愿景,妙诀/美
美容,此種美容秘密使伊樱唇有天然美,3_愿景,秘密/美
美容,潔膚美容固本香皂　去垢消毒固本藥皂,2_科学,消毒/药/美
美容,潔盧美容固本香皂　去垢消毒固本藥皂,2_科学,消毒/药/美
美容,兒安氏美容膏,3_愿景,美/膏
美容,美容妙術,3_愿景,妙术/美
美容,德國美容妙術五和美容片,2_科学,德国/妙术/美
美容,現代美容法,3_愿景,现代/法/美
美容,此種美容秘密使伊櫻唇有天然美,3_愿景,秘密/美
美容,美容神品四七一一　玉容霜　香粉　冷香霜,3_愿景,神品/香/美
美容,白雪掌握美容的權威,3_愿景,白/权威/美
美容,潤面佳劑美容極品,3_愿景,极品/美/剂
美容,潤面佳齊美容極品,3_愿景,极品/美
美容,香皂皇后！美容極品！,3_愿景,皇后/极品/美
美容,時代的美容專劑,2_科学,时代/专剂/美
美容,石氏美容醫院院長石霜湖醫師為取消前學生上海美容醫院院長宋鴻甫畢業證書再度聲明,2_科学,医院/医师/证书
美容,標準美容潤膚劑　孩兒面,3_愿景,美/剂
美容,無敵牌蝶霜　美容珍品潔白牙膏,3_愿景,无敌/珍品/白
美容,美容品中之極品,3_愿景,极品/美
美容,□保面貌嬌妍請用西蒙三級美容法,3_愿景,法/美
美容,舞后的秘密,3_愿景,秘密
美容,求而不易得到之美,3_愿景,美
美容,保護美容之根本辦法,3_愿景,保护/美
美容,教授美容秘訣,3_愿景,秘诀/美
美容,除斑去瘰美容聖品　面麗,1_恐吓,斑
美容,美顏秘訣請　用此種美顏妙品使皮膚秀麗可愛,3_愿景,秘诀/妙品/爱
美容,面麗除斑去瘰美容聖品,1_恐吓,斑
美容,老人還童之晶品蒂德珠,1_恐吓,老
美容,時代的美容專劑一品香（雪花霜）,2_科学,时代/专剂/美
美容,欲保面貌嬌妍請用西蒙三級美容法,3_愿景,法/美
美容,健美素　全世界空前的新彂兒美容健身葯,2_科学,药/健/美
美容,健美素全世界空前的新彂兒美容健身葯,2_科学,药/健/美
美容,教授美容秘訣旁氏白玉霜,3_愿景,秘诀/白/美
美容,潤面佳劑美容極品一品香五洲美容霜,3_愿景,极品/香/美
美容,美容必先潔齒刼士擦牙餅,3_愿景,美
美容,新美容術使黃牙立變白亮,3_愿景,术/白/亮
美容,新的美容秘訣黃牙立刻變白,3_愿景,秘诀/白
美容,德國五和美容片,2_科学,德国/美/片
美容,健美素最新發明內服的美容健身劑,2_科学,发明/健/美
美容,明星用之美容的香皂力士香皂確能使皮膚光潔白嫩,3_愿景,明星/白/嫩
美容,科學美容品颜乳,2_科学,科学/美
美容,石氏美容醫院,2_科学,医院/美
美容,新美容術使黄牙立變白亮,3_愿景,术/白/亮
美容,美容之秘訣夏士蓮雪花,3_愿景,秘诀/美
美容,美容健身劑,3_愿景,健/美/剂
美容,美眼整容醫院醫學整容是根本美容術媸貌醜眼可籍人工補救,1_恐吓,丑
美容,夏士蓮雪花美容之秘訣,3_愿景,秘诀/美
美容,洗衣要用固本皂：又下髒，又經用：不退色，不傷料！潔膚美容去垢消毒,2_科学,消毒/美
美容,好萊塢明星克勞黛考爾白敷用蜜絲佛陀美容品在好萊塢之明星□十九都愛用之,3_愿景,明星/爱/美
美容,新美容術使黄牙立變白亮固齡玉牙膏,3_愿景,术/白/亮
美容,力士香皂明星用之美容的香皂力士香皂確能使皮膚光潔白嫩,3_愿景,明星/白/嫩
美容,五洲固本去垢消毒固本藥皂潔膚美容固本香皂,2_科学,消毒/药/美
美容,面容秀麗如春之花,0_未分类,
美容,新的美容秘訣黃牙立刻變白固齡玉牙膏,3_愿景,秘诀/白
美容,鉛質香粉是損容！不是美容！香味持久日晒無患汗流不散吸收鼻油潔白膚色去痱爽滑,3_愿景,香/白/美
美容,他種丹祺名貴美容妙品,3_愿景,名贵/妙品/美
美容,两分鐘內可以解决婦女一切化粧,0_未分类,
美容,法國巴黎“露嬪牌”各種美容劑打倒庸脂俗粉！彂揮美容真諦！,2_科学,法国/剂/美
美容,美容秘訣祗湏本品二種足矣,3_愿景,秘诀/美
美容,二十世紀最新發明之美容劑四合一洗面粉,2_科学,发明/美/剂
美容,二十世紀最新發明之美容劑,2_科学,发明/美/剂
美容,新美容劑創製的新雪花,3_愿景,美/剂
美容,美顏秘訣,3_愿景,秘诀
美容,明氏美容蜜,2_科学,化学/美
美容,頭瘡損毀美容宜搽如意膏以除之,1_恐吓,疮/损
美容,潤面佳劑美容極品一品香雪花霜五洲美容霜,3_愿景,极品/香/美
美容,白雪白雪掌握美容的權威質柔香清色白如玉,3_愿景,白/权威/香
美容,雙妹老牌雪花膏質潔色白潤膚妙劑芳芬馥郁美容佳品,3_愿景,白/妙/香
美容,介紹一個新的飬膚劑明氏美容蜜,2_科学,化学/剂
美容,免費指導美容,3_愿景,免费/美
美容,今後鉛質膏霜絕跡市上使君面孔營養滋潤又光潔又白嫩,3_愿景,光/白/嫩
美容,美容秘訣,3_愿景,秘诀/美
美容,五洲美容霜一品香,3_愿景,香/美
美容,孩兒面美容潤膚劑,3_愿景,美/剂
美容,白嫩除斑美容潤膚劑,1_恐吓,斑
美容,美容潤膚劑,3_愿景,美/剂
美容,愛琪兒美容雪花,3_愿景,美
美容,孩兒面美容潤膚劑白嫩除斑,1_恐吓,斑
美容,無敵牌蝶霜嫩面除斑美容珍品,1_恐吓,斑
美容,五洲美容霜一品香雪花霜,3_愿景,香/美
美容,好花須灌漑面友能美容美容無面友焉得如好花,3_愿景,美
美容,孩兒面除斑消痣改容换膚歷史悠久光芒萬丈美容潤膚唯一專劑化裝品中首屈一指,1_恐吓,斑/痣
美容,最合於理想的超越美容珍品果然發明成功現與諸君相見青春美,3_愿景,珍品/发明/成功
美容,慎選美容香霜,3_愿景,香/美
美容,孩兒面美容潤膚唯一專劑化裝品中首屈一指,3_愿景,唯一/美/剂
美容,兜安氏美容膏固牙香膏,3_愿景,香/美
美容,時代霜除斑嫩肌美容妙品,1_恐吓,斑
美容,美容之秘訣,3_愿景,秘诀/美
美容,慎選美容香霜西蒙香粉蜜,3_愿景,香/美
美容,美容效能最是誠实,2_科学,化学/美
美容,科學美容劑愛皮細,2_科学,科学/美
美容,美容秘訣衹須本品二種足矣,3_愿景,秘诀/美
美容,法幣二分合值銅元六枚即可解决面部口腔之衛生是生運中切用新活動最實之必需品卽是確具美容潔齒二大功效之胡蝶擦面牙粉,2_科学,卫生/功效/美
美容,除斑嫩肌美容妙品,1_恐吓,斑
美容,五洲美容霜　一品香雪花霜,3_愿景,香/美
美容,新穎之發明—潔膚美容術,2_科学,发明/术
美容,廣生行出品質潔色白潤膚美容,3_愿景,白/美
美容,推荐一流國貨,0_未分类,
美容,請用明星的美容法使人人羨慕你的容貌,3_愿景,明星/法/羡慕
美容,國內最高貴之美容香粧品現代科學化之面部醫療劑面麗,2_科学,科学/医/剂
美容,質潔色白潤膚美容双妹老牌香蜜水,3_愿景,白/香/美
美容,新穎之發明——潔膚美容術,2_科学,发明/术
美容,蜜絲佛陀美容品,3_愿景,美
美容,面麗國內最高貴之美容香粧品現代科學化之面部醫療劑,2_科学,科学/医/剂
美容,現代美容術的偉大發明是造成美麗容顏的良劑是掃除雀斑而皰的利器面麗,1_恐吓,斑
美容,美容之光,3_愿景,美
美容,第一流美容雋品,3_愿景,第一/美
美容,力士香皂美容秘訣如法盥洗容光美艷,3_愿景,秘诀/美/艳
美容,推薦苐一流國貨,0_未分类,
美容,美容藥劑面麗香膏,2_科学,药/剂/香
美容,以天然皮色而定美容方則,3_愿景,美
美容,新穎之發明潔膚美容術,2_科学,发明/术
美容,我愛面麗美容與面麗,3_愿景,爱/美
美容,兜安氏美容膏　固牙香膏,3_愿景,香/美
美容,現代婦女所最需要的科學美容劑,2_科学,科学/现代/剂
美容,去斑白嫩十年來人人知曉爲最能奏效之美容劑,1_恐吓,斑
美容,現代婦女所最需要的科學美容劑面麗,2_科学,科学/现代/剂
美容,有返老還童之力具化妍為媸之功,1_恐吓,老
美容,面麗是最有價値的美容劑,3_愿景,美/剂
美容,治癬特效之甘露現代科學化的美容醫療劑面麗胃必靈,1_恐吓,癣
美容,一九三七年之最新美容秘訣,3_愿景,最新/秘诀/美
补脑,"<广告主>=上海中法藥房總發行

<广告标题>=中樞

<广告产品>=艾羅補腦汁",2_科学,药/汁
补脑,少不如老,1_恐吓,老
补脑,愚笨可變聰明,1_恐吓,笨/愚
补脑,愚笨可變聰明,1_恐吓,笨/愚
补脑,名利人人可奪只怕腦經衰弱,1_恐吓,只怕/衰
补脑,開學情形,0_未分类,
补脑,換腦法,3_愿景,法
补脑,有種像種,0_未分类,
补脑,閱書頭痛艾羅補腦汁,1_恐吓,痛/汁
补脑,閱書頭痛,1_恐吓,痛
补脑,艾羅補腦汁閱書頭痛,1_恐吓,痛/汁
补脑,多疑少决,0_未分类,
补脑,多疑少決,0_未分类,
补脑,偉人鍛練腦筋法,3_愿景,法
补脑,打倒笨伯,1_恐吓,笨
补脑,大偉人大商人大多頭大腦大所以有大計劃大思想做大事業,3_愿景,大/想/业
补脑,擁護總司令,0_未分类,
补脑,百齡機與千年運補血補精補氣補腦補骨補筋,3_愿景,补/精/气
补脑,生命之總機關艾羅補腦汁,2_科学,汁
补脑,擁護總司令艾羅補腦汁上海中法藥房,2_科学,药/汁
补脑,擁護總司令艾羅補腦汁,2_科学,汁
补脑,破天荒改換腦筋,0_未分类,
补脑,心思的來源,0_未分类,
补脑,艾羅補腦汁,2_科学,汁
补脑,夢,0_未分类,
补脑,夢艾羅補腦汁,2_科学,汁
补脑,艾羅補腦汁療肺藥增價聲明,2_科学,药/汁
补脑,腦病無憂艾羅補腦汁,1_恐吓,病/汁
补脑,腦筋鐵銹,0_未分类,
补脑,腦筋紛亂,0_未分类,
补脑,補腦,0_未分类,
补脑,頭疼,1_恐吓,痛
补脑,思想一新艾羅補腦汁,2_科学,汁
补脑,艾羅特效良藥補腦汁療肺葯,2_科学,药/特效/汁
补脑,衰,1_恐吓,衰
补脑,艾羅補腦汁服之康健有不可思議之効力,2_科学,效力/汁/健
补脑,夏令試驗百齡機補腦之效力,2_科学,试验/效力
补脑,補腦汁,2_科学,汁
补脑,聪明之鑰上海三馬路中法藥房總發行,3_愿景,聪明/药
补脑,聪明之鑰,3_愿景,聪明
补脑,良藥利病艾羅補腦汁,1_恐吓,病/药/汁
补脑,不自殺,1_恐吓,自杀
补脑,不自殺艾羅補腦汁,1_恐吓,自杀/汁
补脑,益友艾羅補腦汁,3_愿景,友/汁
补脑,益友,3_愿景,友
补脑,去煩,0_未分类,
补脑,去煩艾羅補腦汁,2_科学,汁
补脑,煩惱,0_未分类,
补脑,腦病種種,1_恐吓,病
补脑,正覺,0_未分类,
补脑,一年之計在於春精明強幹賴乎腦,3_愿景,强
补脑,智慧果,3_愿景,智慧
补脑,財源,0_未分类,
补脑,春機彂動,0_未分类,
补脑,清醒,0_未分类,
补脑,散拿吐瑾智識界之補腦良品,2_科学,药/良药
补脑,人體建設,0_未分类,
补脑,𥙷腦汁,2_科学,汁
补脑,散拿吐瑾補腦兼補血,0_未分类,
补脑,健腦特效的補品,2_科学,特效/健
补脑,健腦特效的補品艾羅補腦汁,2_科学,特效/汁/健
补脑,補腦勞心者注意,0_未分类,
补脑,强慧米是補腦聖藥,3_愿景,圣药/强
补脑,增益元氣,0_未分类,
补脑,健腦益智補身治病夙著功效試服便知,1_恐吓,病/功效/健
补脑,補,0_未分类,
补脑,特效健神補腦片專治一切神衰腦弱的症候,1_恐吓,衰/弱/特效
补脑,艾羅補腦汁健腦益智補身治病夙著功效常服有益,1_恐吓,病/功效/汁
补脑,健腦益智補身治病夙著功效常服有益,1_恐吓,病/功效/健
补脑,思想如意,0_未分类,
补脑,不老不死法百齡機補腦補腎,1_恐吓,老/死/法
补脑,散拿吐瑾補腦益血之神品,2_科学,药
补脑,安康益嗣丸補腦補血强身健體延年益壽求嗣聖劑,3_愿景,圣剂/强/健
补脑,德國最新發明唯一補品效能補腦補血强身健體衰老救星求嗣聖劑安康益嗣丸,1_恐吓,老/救星/德国
补脑,補腦補血强身健體安康益嗣丸返老還少求嗣聖劑健康基礎,1_恐吓,老/圣剂/强
补脑,腦的康健人類進化的根基,3_愿景,健/进化
补脑,腦的康健人類進化的根基艾羅補腦汁,3_愿景,汁/健/进化
补脑,腦的康健人類進代的根基艾羅補腦汁,3_愿景,汁/健
补脑,艾羅補腦法,3_愿景,法
补脑,艾羅補腦汁健腦益智補身治病夙著功效試服便知,1_恐吓,病/功效/汁
补脑,艾羅補腦淡,0_未分类,
补脑,補血補腦人中寶補藥,2_科学,药/宝
补脑,補血補腦,0_未分类,
补脑,滋飬腦力之聖藥,3_愿景,圣药/药
补脑,徐重道國藥總號,2_科学,药
补脑,艾羅補腦汁唯一健腦聖藥,3_愿景,唯一/圣药/汁
补脑,徐重道國藥總號是最進步最可靠之中國大藥店,2_科学,药
补脑,德國補品最新良藥補腦補血强身健體安康益嗣丸又一保證,2_科学,德国/药/丸
补脑,補腦提神強身旺血,3_愿景,强
补脑,徐重道國藥總號規模宏大設置完備是最進步最可靠之中國大藥店,2_科学,药
补脑,別士貴五星白蘭地酒　補腦强身提神旺血　美味甘香價格便宜,3_愿景,强/香
补脑,徐重道國藥總號規模宏大設置完備　是最進步最可靠之中國大藥店,2_科学,药
补脑,散拿吐瑾世界各國名醫一致推許之補腦聖品,3_愿景,医/圣品
补脑,別士貴五星白蘭地提神旺血補腦强身其功之偉匪言可喻,,,,
补脑,補腦强身之唯一妙品,3_愿景,唯一/妙品/强
补脑,大補乾坤丸補腎固精丸養血補腦藥,2_科学,药/丸
补脑,散拿吐瑾補腦聖品,3_愿景,圣品
补脑,補腦强身之唯一妙品　散拿吐瑾,3_愿景,唯一/妙品/强
补脑,中樞　艾羅補腦汁,2_科学,汁
补脑,中樞,0_未分类,
补脑,中樞艾羅補腦汁,2_科学,汁
补脑,可的牛奶補腦强身機械取乳凈潔第一請君一試,3_愿景,第一/强
补脑,勝利之神,2_科学,药
补脑,十二月廿日起廿五天一律亷價再贈精美日曆孩兒面本埠總分店同時舉行,2_科学,药/美
补脑,補腦強身之唯一妙品,3_愿景,唯一/妙品/强
补脑,十二月廿日起廿五天一律亷價再贈精美日暦孩兒面本埠總分店同時舉行,2_科学,药/美
补脑,十二月廿日起廿五天一律亷價再贈精美日曆孩面本埠總分店同時舉行,2_科学,药/美
补脑,十二月廿三起廿五天一律亷價再贈精美日曆本埠總分店同時舉行,2_科学,药
补脑,補腦汁　療肺藥　紅血輪　精神丸　九一四孩兒面　一律𠔳價再贈精美日曆　孩兒面　十二月廿日起廿五天本埠總分店同時舉行,2_科学,药/丸/汁
补脑,中法藥房補腦汁　療肺藥　紅血輪精神丸　九一四孩兒面　一律𠔳價再贈精美日曆　孩兒面　十二月廿日起廿五天本埠總分店同時舉行,2_科学,药/丸/汁
补脑,病痛皆因腦弱　補腦卽能强身,1_恐吓,痛/病/弱
补脑,散拿吐瑾病痛皆因腦弱補腦卽能强身,1_恐吓,痛/病/弱
